f,Ydd_c,Ydq_c,Yqd_c,Yqq_c,Ydd_g,Ydq_g,Yqd_g,Yqq_g
184,0.000330930804617208+0.000889928349205887i,0.000101433034717322+6.65023884043105e-05i,-0.00012138287682422-0.00121226180496314i,0.000435982970183224+0.000822217816175306i,9.87785284397218e-05-0.00219959317259641i,0.000595836851064926+5.00282421603279e-05i,-0.000595836796882207-5.00281784553834e-05i,9.87784989629405e-05-0.00219959318206089i
192,0.000354428117268707+0.000906754320336165i,0.000101845651893665+6.37766899412806e-05i,-0.000122347347226051-0.00116260340665714i,0.000457247313811566+0.000838526942445807i,8.90523744514754e-05-0.00209480290510596i,0.000543960876557357+4.34805502519941e-05i,-0.000543960863526114-4.34805642788396e-05i,8.90524733747666e-05-0.00209480291643258i
196,0.000365844549268846+0.00091477833815085i,0.00010203762291147+6.24951397306352e-05i,-0.000122815834870522-0.00113927810937039i,0.000467569681763701+0.000846343789488536i,8.47377114052763e-05-0.00204624665129763i,0.000520574524026906+4.06399579220554e-05i,-0.00052057461220534-4.06399924499013e-05i,8.47376765615506e-05-0.00204624656800039i
208,0.000398758676513971+0.000937467102340496i,0.00010256380882355+5.89373268305938e-05i,-0.000124165997026328-0.00107462339360223i,0.000497299151346901+0.000868594284013895i,7.35732559078373e-05-0.00191377013067i,0.000458936952205958+3.34942802476343e-05i,-0.000458936973830196-3.34942228292588e-05i,7.35733297132882e-05-0.00191377010528739i
211,0.000406675152054108+0.000942844960717254i,0.00010268489224451+5.81089278204423e-05i,-0.000124490604338745-0.00105959458493967i,0.000504443404646667+0.000873901769657042i,7.11379336704949e-05-0.00188340549760367i,0.000445266673092293+3.19779143823008e-05i,-0.000445266722459648-3.19780163558894e-05i,7.11379981086557e-05-0.00188340551589672i
222,0.00043464712618837+0.000961685452265031i,0.000103097728138423+5.52555371121453e-05i,-0.000125637068177887-0.00100791830530264i,0.000529669266717539+0.000892602196199934i,6.31977795632772e-05-0.0017801760132393i,0.000400105965775825+2.71514230928957e-05i,-0.000400105953433182-2.71514738001872e-05i,6.31978384134166e-05-0.00178017596509974i
229,0.000451597853044865+0.000973033727738803i,0.000103337523764983+5.35763598799555e-05i,-0.000126331375939142-0.000977582396472944i,0.000544943588796074+0.000903948148299671i,5.88366743449475e-05-0.00172039824073232i,0.000374902022919392+2.45827534422893e-05i,-0.000374901972777015-2.45826364604255e-05i,5.88366316446536e-05-0.00172039810522872i
236,0.000467903584533367+0.000983949322565902i,0.000103561533542506+5.19920733748131e-05i,-0.000126998898639282-0.000949019557193271i,0.00055962877073893+0.000914920663298797i,5.49235443653648e-05-0.00166464850125245i,0.000352036928039842+2.2332143610093e-05i,-0.000352037039375367-2.23321115542401e-05i,5.49235778671349e-05-0.00166464855769372i
247,0.00049226207101891+0.00100034730952898i,0.000103885086411906+4.96746769134418e-05i,-0.000127995307181544-0.000907356083817946i,0.000581553260480692+0.000931512817719876i,4.95378577246218e-05-0.00158422577591412i,0.00032016387383195+1.93248937068117e-05i,-0.000320163875927691-1.93249992944346e-05i,4.9537894937974e-05-0.00158422567435237i
251,0.000500747665558481+0.00100611030659527i,0.000103994912644503+4.8879580248436e-05i,-0.000128342170597997-0.000893096597719507i,0.00058918757546427+0.000937374509902533i,4.77792812320781e-05-0.00155693774103928i,0.000309652252019182+1.83673709897479e-05i,-0.000309652293821566-1.83673250426612e-05i,4.77793913530979e-05-0.00155693778901521i
265,0.000528951670067775+0.00102558314756855i,0.000104350164224199+4.62747665904598e-05i,-0.000129493974649551-0.000846522628154206i,0.000614551165281052+0.000957292778217309i,4.23242571472847e-05-0.00146862429105873i,0.000276705723266053+1.54789000260296e-05i,-0.000276705691597242-1.54788786180301e-05i,4.2324355494888e-05-0.00146862422288251i
267,0.000532797001386512+0.00102828756196869i,0.000104397500385714+4.59235690828595e-05i,-0.000129650867790944-0.000840261069308091i,0.000618008050596101+0.000960072101923951i,4.16236518923969e-05-0.00145684391935522i,0.000272436278369926+1.51173867278187e-05i,-0.000272436323204911-1.51174124298714e-05i,4.16236481570649e-05-0.00145684387270471i
283,0.000561995134809065+0.00104936790075638i,0.000104749024892016+4.3281106298445e-05i,-0.000130840849719865-0.000793299183081174i,0.000644248897897675+0.000981835066472347i,3.66072820864188e-05-0.00136916720139901i,0.000241604197084107+1.25973641111284e-05i,-0.000241604210172917-1.25972584289014e-05i,3.66072941370716e-05-0.00136916722380484i
284,0.000563730835083998+0.00105065707095375i,0.000104769501202264+4.3125163232769e-05i,-0.000130911507425219-0.000790536584813652i,0.000645808418468354+0.000983171253632451i,3.63249599207973e-05-0.00136404598556346i,0.000239855295945625+1.24591754696218e-05i,-0.000239855199557633-1.24591422973297e-05i,3.63250145976643e-05-0.00136404601725852i
301,0.000591733600732848+0.00107218713170855i,0.000105093796347409+4.06214224765996e-05i,-0.000132049962015896-0.0007463297413857i,0.000670964270605527+0.00100556282917909i,3.19944104210345e-05-0.0012826305922511i,0.00021283143648756+1.03938802789358e-05i,-0.000212831397314571-1.03938473943734e-05i,3.19943929502162e-05-0.00128263058930112i
303,0.000594848516018145+0.00107468009748601i,0.000105129191003522+4.03439664996377e-05i,-0.000132176407450056-0.000741448943832621i,0.000673762075749394+0.00100816384202646i,3.15372720474035e-05-0.00127370218692321i,0.000209958076286094+1.01820737186548e-05i,-0.000209957966310448-1.01819833761748e-05i,3.15373483808655e-05-0.00127370224083797i
319,0.000618500899655414+0.00109441251972795i,0.000105393774454969+3.82399515114577e-05i,-0.000133135064315824-0.000704564185534794i,0.000695004881094579+0.00102879929881176i,2.82149719558017e-05-0.0012066068666199i,0.00018894279092722+8.67903138750023e-06i,-0.000188942762968826-8.6790914973652e-06i,2.82149841243032e-05-0.00120660692870698i
322,0.000622695711473563+0.0010980798978639i,0.000105439951283125+3.78668711268234e-05i,-0.000133304784314119-0.000698048485984639i,0.000698772168356509+0.00103264240339819i,2.76518137557756e-05-0.00119482275173418i,0.000185357799712449+8.43099964871056e-06i,-0.000185357798710381-8.43106980891158e-06i,2.7651823617509e-05-0.00119482267664478i
337,0.000642611997521368+0.00111632535687048i,0.000105656244278684+3.60929230831466e-05i,-0.000134109147508144-0.000667176307470445i,0.00071665879691282+0.00105178850396978i,2.50775508361409e-05-0.00113925936107139i,0.000168885786955199+7.32390503473059e-06i,-0.000168885834350685-7.32386132316128e-06i,2.50776520599257e-05-0.00113925938946081i
343,0.000650109687995148+0.0011235982706018i,0.000105736438293983+3.54231061240353e-05i,-0.000134411273011203-0.000655568594120679i,0.000723392752256608+0.00105942958885935i,2.41492987336469e-05-0.00111848204383198i,0.000162910427716567+6.93566947090114e-06i,-0.000162910465089602-6.93563943504351e-06i,2.4149342346269e-05-0.00111848214902962i
355,0.000664357057782731+0.00113813607841301i,0.000105887017512694+3.41454567914514e-05i,-0.000134984190103504-0.000633506901118303i,0.000736189989772416+0.00107471247362505i,2.24432405072255e-05-0.00107916090487277i,0.000151878657184769+6.23833259791545e-06i,-0.000151878673322185-6.23827247855863e-06i,2.24432132514796e-05-0.00107916090112931i
